"DDETAG001","Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R1C1",8,"CMS.COMM"
"DDETAG002","Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R2C1",8,"BHD.RAD"
"DDETAG003","Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R3C1",8,"BHD.RDP"
"DDETAG004","Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R4C1",8,"BHD.RPM"
"DDETAG005","Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R5C1",8,"BPT.AIS"
"DDETAG006","Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R6C1",8,"BPT.RAD"
"DDETAG007","Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R7C1",8,"BPT.RDP"
"DDETAG008","Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R8C1",8,"BPT.RPM"
"DDETAG009","Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R9C1",8,"BPT.VDF"
"DDETAG010","Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R10C1",8,"CT8.DSP"
"DDETAG011","Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R11C1",8,"ELN.RAD"
"DDETAG012","Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R12C1",8,"ELN.RDP"
"DDETAG013","Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R13C1",8,"ELN.RPM"
"DDETAG014","Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R14C1",8,"EPC.AIS"
"DDETAG015","Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R15C1",8,"EPC.RAD"
"DDETAG016","Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R16C1",8,"EPC.RDP"
"DDETAG017","Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R17C1",8,"EPC.RPM"
"DDETAG018","Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R18C1",8,"EPC.VDF"
"DDETAG019","Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R19C1",8,"EQP.CEP"
"DDETAG020","Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R20C1",8,"EQP.DSP"
"DDETAG021","Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R21C1",8,"EQP.ICS"
"DDETAG022","Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R22C1",8,"EQP.MTG"
"DDETAG023","Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R23C1",8,"EQP.RAD"
"DDETAG024","Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R24C1",8,"EQP.RDP"
"DDETAG025","Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R25C1",8,"EQP.RPM"
"DDETAG026","Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R26C1",8,"EQP.RRP"
"DDETAG027","Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R27C1",8,"KTA.RAD"
"DDETAG028","Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R28C1",8,"KTA.RDP"
"DDETAG029","Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R29C1",8,"KTA.RPM"
"DDETAG030","Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R30C1",8,"KYC.RAD"
"DDETAG031","Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R31C1",8,"KYC.RDP"
"DDETAG032","Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R32C1",8,"KYC.RPM"
"DDETAG033","Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R33C1",8,"KYC.VDF"
"DDETAG034","Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R34C1",8,"MNT.DSP"
"DDETAG035","Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R35C1",8,"MTP.AIS"
"DDETAG036","Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R36C1",8,"RSS.CEP"
"DDETAG037","Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R37C1",8,"RSS.DSP"
"DDETAG038","Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R38C1",8,"RSS.RRP"
"DDETAG039","Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R39C1",8,"SKC.AIS"
"DDETAG040","Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R40C1",8,"SKC.RAD"
"DDETAG041","Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R41C1",8,"SKC.RDP"
"DDETAG042","Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R42C1",8,"SKC.RPM"
"DDETAG043","Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R43C1",8,"SMR.RAD"
"DDETAG044","Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R44C1",8,"SMR.RDP"
"DDETAG045","Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R45C1",8,"SMR.RPM"
"DDETAG046","Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R46C1",8,"TMS.AIS"
"DDETAG047","Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R47C1",8,"VPK.AIS"
"DDETAG048","Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R48C1",8,"VTC.DSP"
"DDETAG049","Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R49C1",8,"WAG.RAD"
"DDETAG050","Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R50C1",8,"WAG.RDP"
"DDETAG051","Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R51C1",8,"WAG.RPM"
"DDETAG052","Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R52C1",8,"WAG.VDF"
"DDETAG053","Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R53C1",8,"DDE Tag053"
"DDETAG054","Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R54C1",8,"DDE Tag054"
"DDETAG055","Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R55C1",8,"DDE Tag055"
"DDETAG056","Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R56C1",8,"DDE Tag056"
