DDETAG001,Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R1C1,8,CMS.COMM,,1
DDETAG002,Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R2C1,8,BHD.RAD,,2
DDETAG003,Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R3C1,8,BHD.RDP,,3
DDETAG004,Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R4C1,8,BHD.RPM,,4
DDETAG005,Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R5C1,8,BPT.AIS,,5
DDETAG006,Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R6C1,8,BPT.RAD,,6
DDETAG007,Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R7C1,8,BPT.RDP,,7
DDETAG008,Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R8C1,8,BPT.RPM,,8
DDETAG009,Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R9C1,8,BPT.VDF,,9
DDETAG010,Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R10C1,8,CT8.DSP,,10
DDETAG011,Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R11C1,8,ELN.RAD,,11
DDETAG012,Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R12C1,8,ELN.RDP,,12
DDETAG013,Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R13C1,8,ELN.RPM,,13
DDETAG014,Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R14C1,8,EPC.AIS,,14
DDETAG015,Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R15C1,8,EPC.RAD,,15
DDETAG016,Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R16C1,8,EPC.RDP,,16
DDETAG017,Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R17C1,8,EPC.RPM,,17
DDETAG018,Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R18C1,8,EPC.VDF,,18
DDETAG019,Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R19C1,8,EQP.CEP,,19
DDETAG020,Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R20C1,8,EQP.DSP,,20
DDETAG021,Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R21C1,8,EQP.ICS,,21
DDETAG022,Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R22C1,8,EQP.MTG,,22
DDETAG023,Excel|C:\ProjMD\CMSProj\CMSComm\[CMSExcel.xls]Sheet1!R23C1,8,EQP.RAD,,23
